,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
90,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1.5,14.7,104,4.38,1.41,22.5,0.0784,391,278,0.86,1.03,107,0.24,Tsai,,
91,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,18,1.5,14.5,120,4.33,1.4,22.4,0.0781,391,277,0.88,1.54,210,0.36,Tsai,,
92,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,1.5,14.6,475,4.37,1.41,22.5,0.0772,391,268,0.96,2.04,335,0.48,Tsai,,
93,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,2,0.6,13.9,16,4.17,1.37,22,0.0753,391,192,0.74,0.2,7,0.05,Tsai,,
94,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,0.6,13.6,17,4.09,1.35,21.8,0.0734,390,183,0.81,0.51,34,0.12,Tsai,,
95,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,0.6,13.5,19,4.05,1.35,21.7,0.0736,390,175,0.86,1.03,108,0.24,Tsai,,
96,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,25,0.6,13.5,26,4.05,1.35,21.7,0.0737,389,163,0.93,2.06,341,0.48,Tsai,,
97,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,0.6,13.5,557,4.07,1.35,21.7,0.0733,389,163,0.93,3.07,665,0.72,Tsai,,
98,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,0.6,13.8,726,4.15,1.36,21.9,0.072,388,160,0.96,4.1,1067,0.97,Tsai,,
99,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,1,23.3,82,7.66,1.97,29.2,0.0991,388,180,0.51,1.42,3,0.33,Tsai,,
100,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1,23.4,104,7.7,1.96,29.3,0.0951,388,150,0.65,3.45,13,0.81,Tsai,,
