,Unnamed: 0,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
83,83,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.163434903,0.226315789,0.253623188,0.049751244,0.129746835,0.511363636,0.007575758,0.528443114,0.272065514,0.612179487,0.361344538,0.00480163,0.005531653,0.00473251,Tsai,,
84,84,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.232686981,0.226315789,0.257246377,0.055970149,0.132911392,0.515151515,0.007744108,0.526946108,0.272065514,0.596153846,0.386554622,0.006984189,0.00983405,0.006995885,Tsai,,
85,85,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.329639889,0.226315789,0.268115942,0.053482587,0.137658228,0.515151515,0.008080808,0.502994012,0.272065514,0.567307692,0.445378151,0.009554758,0.015980332,0.009465021,Tsai,,
86,86,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.48199446,0.226315789,0.268115942,0.06840796,0.137658228,0.515151515,0.008080808,0.489520958,0.272065514,0.570512821,0.43697479,0.014501892,0.031015082,0.014609053,Tsai,,
87,87,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.662049861,0.226315789,0.253623188,0.53358209,0.130537975,0.507575758,0.007744108,0.452095808,0.272065514,0.538461538,0.521008403,0.019740033,0.05082502,0.019753086,Tsai,,
88,88,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.489473684,0.257246377,0.099502488,0.132120253,0.503787879,0.007744108,0.402694611,0.272065514,0.826923077,0.226890756,0.000436512,0.000283675,0.000411523,Tsai,,
89,89,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.489473684,0.260869565,0.109452736,0.134493671,0.503787879,0.007912458,0.381736527,0.272065514,0.78525641,0.327731092,0.001988554,0.00156021,0.002057613,Tsai,,
90,90,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.489473684,0.253623188,0.120646766,0.128955696,0.5,0.007575758,0.377245509,0.272065514,0.762820513,0.386554622,0.004365118,0.004964304,0.004320988,Tsai,,
91,91,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.232686981,0.489473684,0.246376812,0.140547264,0.125,0.496212121,0.007407407,0.372754491,0.272065514,0.759615385,0.403361345,0.006838685,0.00983405,0.006790123,Tsai,,
92,92,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.315789474,0.489473684,0.25,0.582089552,0.128164557,0.5,0.007575758,0.359281437,0.272065514,0.730769231,0.470588235,0.00926375,0.015743936,0.009259259,Tsai,,
