,Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
78,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,0.6,33.2,25.0,14.02,2.29,37.9,0.0732,410.0,113.0,0.93,10.22,753.0,2.41,Tsai,,
79,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,0.6,33.5,84.0,14.28,2.31,38.2,0.0722,409.0,111.0,0.94,13.72,1213.0,3.23,Tsai,,
80,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,61.0,0.6,33.6,365.0,14.37,2.3,38.3,0.0703,409.0,109.0,0.96,17.31,1763.0,4.08,Tsai,,
81,M250Y,3.1,Config 2,High visc,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,2.0,1.0,14.7,40.0,4.38,1.44,22.5,0.0896,391.0,258.0,0.65,0.21,7.0,0.05,Tsai,,
82,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.0,14.8,42.0,4.41,1.44,22.6,0.0887,391.0,240.0,0.76,0.54,34.0,0.13,Tsai,,
83,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,13.0,1.0,14.7,47.0,4.39,1.44,22.5,0.0885,391.0,231.0,0.83,1.12,119.0,0.26,Tsai,,
84,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,18.0,1.0,14.8,52.0,4.43,1.45,22.6,0.0884,391.0,226.0,0.86,1.57,210.0,0.37,Tsai,,
85,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,25.0,1.0,15.1,50.0,4.49,1.45,22.8,0.0868,391.0,217.0,0.93,2.1,340.0,0.49,Tsai,,
86,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,36.0,1.0,15.1,62.0,4.49,1.45,22.8,0.0859,391.0,218.0,0.92,3.12,658.0,0.74,Tsai,,
87,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,1.0,14.7,436.0,4.4,1.43,22.6,0.0834,391.0,208.0,1.02,4.2,1077.0,0.99,Tsai,,
88,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,1.5,14.8,87.0,4.42,1.42,22.6,0.0801,391.0,298.0,0.67,0.22,8.0,0.05,Tsai,,
89,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.5,14.9,95.0,4.45,1.42,22.7,0.0787,391.0,285.0,0.79,0.54,35.0,0.13,Tsai,,
90,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,1.5,14.7,104.0,4.38,1.41,22.5,0.0784,391.0,278.0,0.86,1.03,107.0,0.24,Tsai,,
91,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,18.0,1.5,14.5,120.0,4.33,1.4,22.4,0.0781,391.0,277.0,0.88,1.54,210.0,0.36,Tsai,,
92,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,24.0,1.5,14.6,475.0,4.37,1.41,22.5,0.0772,391.0,268.0,0.96,2.04,335.0,0.48,Tsai,,
93,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,2.0,0.6,13.9,16.0,4.17,1.37,22.0,0.0753,391.0,192.0,0.74,0.2,7.0,0.05,Tsai,,
94,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,0.6,13.6,17.0,4.09,1.35,21.8,0.0734,390.0,183.0,0.81,0.51,34.0,0.12,Tsai,,
95,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,0.6,13.5,19.0,4.05,1.35,21.7,0.0736,390.0,175.0,0.86,1.03,108.0,0.24,Tsai,,
96,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,25.0,0.6,13.5,26.0,4.05,1.35,21.7,0.0737,389.0,163.0,0.93,2.06,341.0,0.48,Tsai,,
97,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,0.6,13.5,557.0,4.07,1.35,21.7,0.0733,389.0,163.0,0.93,3.07,665.0,0.72,Tsai,,
